date	price	vol_1	vol_2
2013-09-09	113.72	200571	225614
2013-09-10	111.25	176155	207461
2013-09-11	111.5	109342	198532
2013-09-12	112.63	93446	265135
2013-09-13	112.78	18637	199221
2013-09-16	110.07	249444	209067
2013-09-17	108.19	214348	190412
2013-09-18	110.6	200710	179413
2013-09-19	108.76	201584	162890
2013-09-20	109.22	160650	116074
2013-09-23	108.16	169117	133392
2013-09-24	108.64	197986	187725
2013-09-25	108.32	211604	201915
2013-09-26	109.21	143124	118547
2013-09-27	108.63	190335	148196
2013-09-30	108.37	149009	114134
2013-10-01	107.94	189649	175304
2013-10-02	109.19	177152	159076
2013-10-03	109	212254	158039
2013-10-04	109.46	144473	112165
2013-10-07	109.68	227729	208652
2013-10-08	110.16	163835	193805
2013-10-09	109.06	171121	209341
2013-10-10	111.8	212346	285561
2013-10-11	111.28	141347	222306
2013-10-14	111.04	106793	173253
2013-10-15	109.96	93751	223343
2013-10-16	110.86	15367	249804
2013-10-17	109.11	233726	93753
2013-10-18	109.94	181537	87243
2013-10-21	109.64	190114	95074
2013-10-22	109.97	238663	109117
2013-10-23	107.8	324607	155504
2013-10-24	106.99	242303	120248
2013-10-25	106.93	212279	120318
2013-10-28	109.61	266177	137487
2013-10-29	109.01	185007	109564
2013-10-30	109.86	234595	128160
2013-10-31	108.84	238843	149171
2013-11-01	105.91	298577	173009
2013-11-04	106.23	230571	137451
2013-11-05	105.33	186816	119109
2013-11-06	105.24	243836	186452
2013-11-07	103.46	291116	225426
2013-11-08	105.12	242695	227154
2013-11-11	106.4	172676	193469
2013-11-12	105.81	156686	247490
2013-11-13	107.12	113996	288270
2013-11-14	108.54	20846	308215
2013-11-15	108.5	198638	90095
2013-11-18	108.47	185490	69894
2013-11-19	106.92	224434	108804
2013-11-20	108.06	220188	95023
2013-11-21	110.08	253964	128602
2013-11-22	111.05	276245	98393
2013-11-25	111	278784	98813
2013-11-26	110.88	199747	86634
2013-11-27	111.31	193979	91242
2013-11-28	110.86	61684	32888
2013-11-29	109.69	126876	68648
2013-12-02	111.45	266950	131570
2013-12-03	112.62	217611	118960
2013-12-04	111.88	235282	123394
2013-12-05	110.98	191775	108350
2013-12-06	111.61	155520	103556
2013-12-09	109.39	202846	159865
2013-12-10	109.38	230617	192217
2013-12-11	109.7	158720	155122
2013-12-12	108.67	128305	168570
2013-12-13	108.83	98096	200667
2013-12-16	110.47	23611	209567
2013-12-17	108.44	149781	72945
2013-12-18	109.63	187960	87408
2013-12-19	110.29	159785	77397
2013-12-20	111.77	169479	82603
2013-12-23	111.56	103720	66203
2013-12-24	111.9	52160	27607
2013-12-26	111.98	43620	19039
2013-12-27	112.18	126905	62738
2013-12-30	111.21	111066	57671
2013-12-31	110.8	84991	40007
2014-01-02	107.78	200650	122655
2014-01-03	106.89	191130	124282
2014-01-06	106.73	181818	127605
2014-01-07	107.35	188198	154533
2014-01-08	107.15	185540	174765
2014-01-09	106.39	175373	180459
2014-01-10	107.25	198567	233482
2014-01-13	106.75	151798	213137
2014-01-14	106.39	111284	228651
2014-01-15	107.13	70775	245760
2014-01-16	107.09	14562	231428
2014-01-17	106.48	198417	111884
2014-01-20	106.35	103661	66648
2014-01-21	106.73	254312	161772
2014-01-22	108.27	184004	113181
2014-01-23	107.58	241803	188871
2014-01-24	107.88	244563	108858
2014-01-27	106.69	203299	107543
2014-01-28	107.41	188297	120424
2014-01-29	107.85	207314	112950
2014-01-30	107.95	188726	127259
2014-01-31	106.4	231456	139455
2014-02-03	106.04	264731	156543
2014-02-04	105.78	186442	110211
2014-02-05	106.25	193780	129262
2014-02-06	107.19	205076	143447
2014-02-07	109.57	215633	179980
2014-02-10	108.63	162655	168263
2014-02-11	108.68	137264	212206
2014-02-12	108.79	105889	249899
2014-02-13	108.73	18080	218962
2014-02-14	109.08	146752	73156
2014-02-17	109.18	56865	17303
2014-02-18	110.46	150349	58292
2014-02-19	110.47	163342	79393
2014-02-20	110.3	151209	59692
2014-02-21	109.85	154902	69029
2014-02-24	110.64	202524	131713
2014-02-25	109.51	198156	135226
2014-02-26	109.52	186710	127180
2014-02-27	108.96	192908	128580
2014-02-28	109.07	189555	103428
2014-03-03	111.2	291312	176070
2014-03-04	109.3	218495	126480
2014-03-05	107.76	220182	141229
2014-03-06	108.1	228722	155424
2014-03-07	109	172045	160055
2014-03-10	108.08	149339	144896
2014-03-11	108.55	146848	162825
2014-03-12	108.02	159230	245647
2014-03-13	107.39	86262	228723
2014-03-14	108.57	12882	221700
2014-03-17	106.24	166228	102873
2014-03-18	106.79	170581	106869
2014-03-19	105.85	188478	133388
2014-03-20	106.45	205209	133736
2014-03-21	106.92	167796	111342
2014-03-24	106.81	142787	84056
2014-03-25	106.99	167091	103758
2014-03-26	107.03	166383	122872
2014-03-27	107.83	184833	133198
2014-03-28	108.07	140346	89868
2014-03-31	107.76	145621	88660
2014-04-01	105.62	195027	143212
2014-04-02	104.79	271596	224763
2014-04-03	106.15	220535	189494
2014-04-04	106.72	184072	162734
2014-04-07	105.82	215202	198756
2014-04-08	107.67	193355	211635
2014-04-09	107.98	144718	181647
2014-04-10	107.46	124823	159110
2014-04-11	107.33	105397	185294
2014-04-14	109.07	95832	291139
2014-04-15	108.74	19545	234241
2014-04-16	109.6	229357	95408
2014-04-17	109.53	163987	64802
2014-04-21	109.95	71867	22772
2014-04-22	109.27	201105	66534
